start_time_sec,end_time_sec,annotation
0.1,0.8,hallå
96.9,97.6,mhm
98.1,101.0,alltså vad vad intressant alltså
101.2,103.9,det jag tyckte var lite speciellt var att
105.1,107.4,personen ville ha var det på första dejten?
118.7,120.8,ja det är märkligt
138.8,155.2,eh hur känner jag att jag skulle svara alltså det beror på ja jag skulle tycka att det var speciellt för första dejten för att jag skulle vara typ såhär ja men du kan väl fråga typ? eller förstår du vad jag menar? jag fattar ju att det finns det fanns det finns ju
155.5,160.5,eh saker som man inte vet om själv men men eh såhär
161.2,169.2,jag vet inte det känns att just att de skulle ta dna-test känns som att de redan är lite speciella och att
169.5,170.6,ehm
171.6,173.3,att dem
174.5,179.4,kanske har lite andra prioriteringar än en själv alltså jag skulle känna att såhär det är viktigare att
180.0,194.2,att man typ är comparable comparable kompatibel det är viktigare att man är kompatibel eh typ personlighetsmässigt och så och sedan så det andra får komma sedan om man är
194.9,218.9,om man vill ha barn sedan och liksom tycker att det är viktigt att att kolla då eh ja men till exempel jag har faktiskt en blodsjukdom så eh så som min partner inte får ha om vi ska ha barn liksom och då då tycker att det är det är rimligt att kolla men det är just att det är första dejten känns det känns lite såhär gud kommer kommer det här vara något weirdo nu som jag ska gå och träffa haha
264.9,270.3,ja men det det tycker jag också alltså när det väl är dags så är det väl rimligt att göra det faktiskt
270.9,272.0,ehm
273.1,273.9,mhm
354.5,355.4,just det ja
391.9,392.5,ja
392.9,393.8,också såhär
394.6,395.9,det finns ju många som
397.0,400.8,föds med genetiska sjukdomar och så vidare men
402.0,403.8,det känns ju ändå
405.5,408.7,ja jag vet inte de kan väl också få finnas typ haha
433.8,434.7,vad är det för någonting?
478.8,479.5,ja just det ja
480.3,486.1,ja men det finns ju det finns ju alternativ där som du sa man kan ju adoptera och sådant också och
486.8,487.5,också
487.8,492.3,så att det ja jag antar antar att det är upp till var och en på något sätt såhär vad man är okej med
532.7,533.8,nej men ja
534.0,534.4,ja
539.1,540.6,ja just det ja
541.505,543.305,eller om testet visade fel liksom?
