start_time_sec,end_time_sec,annotation
0.3,1.0,halloj
6.8,7.2,ja
8.7,10.3,men nej haha det är inte ditt fel
13.3,14.1,haha
24.3,24.8,mhm
62.5,64.9,eh ja jag tänker väl att
65.1,65.6,det
65.9,69.0,absolut finns problematiska aspekter med det
71.0,76.3,eh till exempel ja alltså den mest obvious grejen är väl att man gör ett
76.9,79.1,medicinskt ingrepp så
79.5,80.9,man tycker ju att det ska liksom
82.8,83.7,eh
84.1,86.9,kosta mindre än vad det smakar haha
88.0,93.4,precis eh så det det innebär väl att ja det är väl inget stort ingrepp egentligen men
93.7,96.0,frågan är liksom behöver vi ett chip i
96.3,97.4,i handen?
98.5,99.0,eh
99.5,100.4,för
102.1,104.5,ja liksom är det är det är det värt det?
105.8,108.5,jag antar att man inte skulle kunna scanna som du gör nu
117.3,122.5,jag tänkte fråga dig först om du hade ett sådant innan jag skulle liksom snacka mer skit om det men
122.8,123.5,så
124.6,126.0,sedan kom jag på att nej
213.3,213.9,ja
214.1,220.1,alltså jag funderar på vad det skulle vara för positiva sidor då alltså det är klart att såhär jag kan vara ganska slarvig
220.4,225.2,så visst det skulle kunna vara praktiskt för mig att ha allting på ett och samma ställe men
226.0,228.1,eh alltså att jag skulle gå till dem
229.6,230.7,den liksom
231.9,237.0,så långt att jag skulle operera in någonting i handen känns jätte långt bort
237.9,238.7,det känns
263.2,266.1,alltså det är ju intressant
267.6,268.1,mhm
268.5,270.3,frågan är om jag skulle
271.5,281.6,det skulle man ju faktiskt kunna det skulle ju faktiskt kunna vara jättebra om de om man kunde få veta det antar jag alltså om man kan göra någonting åt det men samtidigt så
281.8,287.0,eh så det betyder ju också att det finns något företag eller att den här datan lagras någonstans
287.6,288.6,och att man skulle helt
289.4,300.2,eh ytterligare en aspekt av mitt liv skulle liksom finnas eh men å andra ja det är som med allting liksom man är ju bara en fis i rymden jämfört med liksom all data som finns och
300.5,303.7,vad skulle folk kunna göra med det? jag vet inte men jag vet jag fick bara en bild av att såhär
304.7,308.7,ja man skulle kunna alltså ens bankkonto och sådant där kan ju bli hackat eller?
309.5,313.9,eh men om man skulle ha typ nej men jag tänkte om man skulle ha typ sitt pass
314.3,315.4,i det här chippet
315.7,317.3,och sedan så hackas det så att man inte
317.5,318.1,liksom såhär
318.4,321.2,Sverige kanske blir under attack alltså inte för att jag tror att det är
321.9,323.3,är särskilt sannolikt men
323.5,324.8,Sverige kanske blir under attack
325.2,326.4,eh och ehm
327.7,333.1,och så och då eh finns det är det några hackers hackers som typ hindrar en från att man eh alla ens
333.3,334.0,eh
334.2,337.6,eh ja i id-handlingar och sådant är liksom bara som bortblåsta
435.8,439.4,okej jag visste inte att folk gjorde det men jag jag kan tänka mig att
439.6,441.3,jag skulle i alla fall bli påverkad av
441.5,447.4,eh hur många som hade det så om det skulle vara liksom vanligare att man hade ett chip än att man inte hade ett chip då kanske det hade varit större
447.8,449.0,chans att jag faktiskt hade
450.0,451.4,gjort det också
452.1,453.4,man vill inte vara den första
454.4,458.1,man vill inte vara eh liksom personen som intervjuas i tv4 nyhetsmorgon
458.7,459.4,men eh
460.3,461.3,men eh ja
511.1,515.5,nej men verkligen gud alltså jag kan man kan ju komma komma på scenarion
515.7,517.1,i vilka man såhär
518.4,519.7,skulle vilja
520.3,520.8,eh
521.3,524.4,dölja vart man är någonstans alltså även om eh
524.9,528.4,även om det liksom är saker som förmodligen aldrig kommer hända men
529.2,531.8,eh det blir ju kanske svårt om man har ett sådant där chip
532.6,533.0,då
534.4,534.6,att
590.97,591.62,just det ja
