start_time_sec,end_time_sec,annotation
0.4,0.9,halloj
2.3,2.7,hej
19.5,20.2,mhm
52.2,52.7,ja
69.0,69.8,jo men
70.1,72.7,det tycker jag ju att det är
73.0,76.7,förstås särskilt om det känns liksom helt omotiverat på något sätt
78.7,79.2,mhm
79.9,83.2,men jag kan ändå se fördelar med det också
84.2,87.4,men eh som sagt jag skulle behöva typ jag skulle behöva en förklaring
87.8,88.3,till det
89.2,90.2,typ ehm
91.1,94.1,säg att det är någon som är såhär super målinriktad
94.6,98.8,och bara okej den nästa personen som jag dejtar seriöst den ska liksom
99.3,100.1,ehm
100.7,103.9,alltså jag ska jag ska jag själv skulle inte tänka såhär men jag tänker om någon skulle göra det
104.4,104.9,eh
105.5,107.3,eh den personen ska
107.7,112.3,inte ha anlag för den här sjukdomen som jag har för att då kommer eh
112.8,117.7,mina barn då våra barn det jag vill jag tänker ha barn med den här personen liksom den som jag dejtar nästa gång
118.1,121.2,eh så då för då då kan barnet bli sjukt eller typ eh
123.2,125.2,ja så så på det sättet fattar jag
125.6,127.4,sedan så blir det ju svårt med
128.8,137.0,alltså säg att säg att eh den personen som ber mig om ett dna-test skulle typ se att jag har anlag för någon psykisk sjukdom
137.7,139.9,eh och sedan liksom vända det emot mig
140.6,145.3,när vi bråkar eller någonting sådant man skulle verkligen kunna se att det händer liksom om man var tillsammas med en kille
213.8,214.3,ja
225.7,226.7,ja men precis
262.4,264.1,jo men eh jag håller med
264.3,266.2,alltså jag skulle tycka att det vore kul
267.1,267.7,eh
268.1,268.8,att ta
269.1,270.7,dna-test och få veta
271.8,272.9,grejer
273.5,274.1,eh
275.3,279.5,ja men det skulle vara lite spännande faktiskt folk gör ju det också med såhär ancestry
280.0,280.4,och så
281.4,291.3,då skulle då kanske man kan om jag jag har ju inte det heller men eh man kanske kan se då liksom vad folk har dött av typ på då kanske man liksom på det sättet indirekt får någon slags
291.9,294.6,eh information om vad man har anlag för och så
295.0,296.8,det är ju lite lite spännande
297.5,299.6,samtidigt kan det vara lite läskigt också
300.4,301.2,eh
303.7,306.4,om man skulle ta få reda på att man har anlag för någon såhär
307.8,312.7,eh allvarlig sjukdom fast det kanske man vet redan med sina sin farmor och farfar mormor och morfar liksom
365.9,366.6,mhm
379.6,380.1,ja
381.1,382.8,ja jag kanske inte skulle göra en sådan där
383.5,385.5,jag kanske inte skulle göra det då
385.8,389.1,nej men om jag fick en om jag fick en rimlig förklaring så
389.4,389.8,kanske
391.1,394.0,men eh ja det beror på också hur desperat man är
394.3,394.8,liksom
401.6,402.3,mhm haha
410.7,411.1,mhm
470.9,471.3,mhm
477.2,477.8,mhm
522.7,525.8,jaha så det här hände ganska nyligen vad sjukt
554.2,554.8,just det ja
555.5,559.1,om du skulle hitta liksom i ancestry typ ett syskon till dig
560.1,560.4,mhm
579.0,581.5,nej jag har inte gjort det men min pappa har ehm
582.2,584.5,min pappa har varit väldigt inne på det faktiskt
585.4,589.1,men han har liksom en speciella omständigheter också kring sin egen
589.4,590.6,familj och såhär min
591.3,591.8,eh
592.5,596.9,han jag tror att han var typ femton när han fick veta att hans pappa inte var hans
597.585,598.935,biologiska pappa liksom
