start_time_sec,end_time_sec,annotation
0.3,0.9,hej
2.4,3.5,det är jag som är Caroline
4.4,6.9,vi skulle prata om eh etiska dilemman idag
8.6,12.3,ja men eh jag har faktiskt inte fått veta vad det är för etiskt dilemma
12.6,14.0,eh som vi ska prata om
14.8,17.4,så du kanske skulle kunna börja med att berätta för mig
17.8,18.3,vilket det är?
43.5,44.8,oj är det en fråga till mig?
49.6,53.5,magkänslan säger nog att jag inte skulle göra det ärligt talat
55.8,56.4,bara för att
56.6,60.3,när det gäller eller ja det känns bara obehagligt att sätta in något i kroppen och så ska det
61.2,66.8,och och och typ behöver man det ens? om vi har liksom kort och mobiler och sådant redan?
90.9,91.5,ja
92.0,100.7,alltså ja det är väl det att eftersom att vi har det redan i telefonen så känns det så himla extremt och lägga det i fingret haha
121.7,125.8,ja mindre risk att man tappar bort saker liksom
149.2,149.8,ja
155.0,155.6,ja
156.1,158.8,precis men eh som du sa där
160.0,165.0,också att man man man har ju inget om man om man om någon vill liksom komma åt ens bank
165.9,173.3,bankkonto pengarna som man har på banken då liksom kanske man typ blir kidnappad på köpet också eller förstår du vad jag menar?
173.8,177.3,att man man skulle bara vilja kunna slänga alla sina grejer och springa iväg
202.9,203.5,ja
204.5,210.6,men eh ja lite smidigare det men det känns som att det skulle kunna bli ganska smidigt jag är ganska slarvig av mig
211.1,214.3,så alltså det jag tror på det sättet skulle det vara smidigt
215.2,216.2,men eh
217.3,221.6,alltså vilka vad är det för funktioner som det här chippet har då? är det bara
222.2,223.6,eller bara liksom
223.9,224.5,eh
225.2,227.1,bankkort och sådant eller
227.4,228.7,är det liksom
229.4,232.6,typ inte vet jag gps och
233.4,238.1,håller koll på ens olika blodvärden och så eller?
285.4,291.9,verkligen då måste man lita på att den personen eller att liksom det företaget eller staten verkligen såhär
292.2,293.9,har rent mjöl i påsen och
294.5,297.1,det är också bara någon slags en någon slags såhär eh
297.3,299.5,betting om att det kommer fortsätta vara så
302.1,302.4,för att
303.5,303.8,mhm
324.1,328.4,just det ja man kanske får en såhär notifikation i sina google glasses typ
328.8,330.8,såhär ja nu har du lågt blodsocker
331.1,331.5,eller något
333.7,334.2,haha
349.4,351.3,ja jag har hört talas om
353.6,354.4,ehm
355.2,357.7,eh att folk har liksom som ringar
358.0,359.1,som har
359.6,362.6,typ bankkort i sig och
363.1,364.7,id kanske
365.6,368.7,men då kan man åtminstone ta av dem när man vill
381.2,381.9,mhm
391.3,393.7,verkligen ja det känns som att
394.5,396.2,det skulle kunna
396.8,403.8,ehm det skulle ju kunna eh det skulle någonting som man inte kan förutspå kan ju hända men det skulle också man skulle kunna tänka sig typ
404.3,405.8,någon slags hacker attack
406.9,408.2,och eh
408.5,413.8,att eh ja men det kanske inte är bra om de har såhär om om det finns en gps funktion i den där
414.1,426.0,i dem där chippen då kanske det inte är så himla bra att attackerserna vet var varenda eh medborgare befinner sig särskilt inte såhär politiker och sådant
472.8,473.3,mhm
474.5,478.3,ja verkligen de håller ju sådant gärna eh
478.8,481.0,för sig själva liksom
481.8,483.1,och eh
483.4,489.4,jag menar även ens pengar antar jag alltså banker blir väl hackade liksom skulle man kunna bli hackad på det här chippet
490.9,495.4,nämen ja såhär skulle man kunna bli hacka på chippet så att man typ inte kan resa
496.1,496.9,och sådant?
498.5,500.6,om man har sitt id där i liksom
518.6,531.5,just det man kan liksom ha man kan attackera individer individer men också liksom allihopa allihopa på en gång också på något sätt för att liksom eh men skapa kaos
557.6,558.1,nja
558.5,563.1,jo men jag det låter som att vi båda är ganska överens om att det inte var så himla nice idé
583.4,583.99,vad hette det?
